56,"Beinn a' Chlachair",1087,350305,"Beinn A' Chlachair",56.8683,-4.5081,1087.0,166.8
57,"Beinn Dearg",1084,350318,"Beinn Dearg (Highland)",57.7856,-4.9298,1084.0,84.6
58,"Beinn a' Chaorainn",1083,350303,"Beinn A' Chaorainn (Aberdeenshire)",57.0959,-3.5755,1082.0,311.9
59,"Schiehallion",1083,353377,"Schiehallion",56.6652,-4.0955,1083.0,347.1
60,"Sgurr a' Choire Ghlais",1083,353416,"Sgurr A' Choire Ghlais",57.4452,-4.8975,1083.0,387.9
61,"Beinn a' Chreachain",1081,350309,"Beinn A' Chreachain",56.5563,-4.6451,1081.0,479.4
62,"Beinn Heasgarnich",1078,350328,"Beinn Heasgarnich",56.5122,-4.5778,1076.0,231.4
63,"Ben Starav",1078,350379,"Ben Starav",56.5365,-5.0492,1078.0,273.7
64,"Beinn Dorain",1076,350320,"Beinn Dorain",56.5061,-4.7227,1074.0,358.8
65,"Stob Coire Sgreamach",1072,353689,"Stob Coire Sgreamhach",56.6379,-5.0105,1072.0,48.7
66,"Braigh Coire Chruinn-bhalgain",1070,350562,"Braigh Coire Chruinn-Bhalgain",56.8332,-3.7263,1069.0,305.7
67,"An Socach",1069,350102,"An Socach (Loch Mullardoch)",57.3508,-5.1563,1069.0,152
68,"Meall Corranaich",1069,352582,"Meall Corranaich",56.5425,-4.2531,1069.0,174.3
69,"Glas Maol",1068,351578,"Glas Maol",56.8722,-3.3696,1068.0,126.5
70,"Sgurr Fhuaran",1067,353431,"Sgurr Fhuaran",57.1929,-5.3431,1068.0,451.6
71,"Cairn of Claise",1064,350715,"Cairn Of Claise",56.8955,-3.339,1064.0,148.5
72,"Bidean a' Ghlas Thuill (An Teallach)",1062,350421,"Bidein A' Ghlas Thuill",57.8079,-5.2483,1062.0,223.9
73,"Sgurr Fiona (An Teallach)",1060,353433,"Sgurr Fiona",57.7998,-5.257,1059.0,177.6
74,"Na Gruagaichean",1056,352734,"Na Gruagaichean",56.7446,-4.9376,1055.0,171.9
75,"Spidean a Choire Leith (Liathach)",1055,353618,"Spidean A' Choire Leith",57.5661,-5.4649,1054.0,225.4
76,"Stob Poite Coire Ardair",1054,353696,"Stob Poite Coire Ardair",56.9644,-4.5841,1053.0,107.6
77,"Toll Creagach",1054,353931,"Toll Creagach",57.3062,-5.0015,1054.0,349.2
78,"Sgurr a' Chaorachain",1053,353415,"Sgurr A' Chaorachain",57.454,-5.1919,1053.0,228.7
